,xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
0,N948336721,Albergo Delle Povere,null,null,https://it.wikipedia.org/wiki/Albergo%20dei%20Poveri%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Reale_albergo_delle_povere_%28Palermo_-_c.so_Calatafimi%29.JPG,Palermo Corso Calatafimi SIC PA IV Circoscrizione Italia 90129 it Altarello ,"accomodations,other_hotels",13.345915794372559,38.109493255615234
1,R1225257,Albergo delle povere,null,null,https://it.wikipedia.org/wiki/Albergo%20dei%20Poveri%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Reale_albergo_delle_povere_%28Palermo_-_c.so_Calatafimi%29.JPG,Palermo Corso Calatafimi SIC PA IV Circoscrizione Italia 90129 it Altarello ,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",13.346355438232422,38.10988235473633
2,W83825693,Villa Igiea Hilton,null,5,https://it.wikipedia.org/wiki/Villa%20Igiea,https://commons.wikimedia.org/wiki/File:Villa_Igiea_a_Palermo_lato_giardino.jpg,Palermo Via Papa Sergio I SIC PA VIII Circoscrizione Italia 90142 it Acquasanta ,"accomodations,other_hotels",13.370223999023438,38.14537811279297
3,N722919041,Grand Hotel Palme,https://www.grandhotel-et-des-palmes.com/,null,https://en.wikipedia.org/wiki/Grand%20Hotel%20et%20des%20Palmes,https://commons.wikimedia.org/wiki/File:Grand_Hotel_et_des_Palmes_%28Palermo%29_-_Fa%C3%A7ade_3.jpg,Palermo Via Roma SIC PA VIII Circoscrizione Italia 90100 it ,"accomodations,other_hotels",13.359310150146484,38.123905181884766
4,H81692,rocco forte villa igiea,https://www.booking.com/hotel/it/grandhotelvillaigieapalermo.html,5,https://it.wikipedia.org/wiki/Villa%20Igiea,https://commons.wikimedia.org/wiki/File:Villa_Igiea_a_Palermo_lato_giardino.jpg,Palermo Via Papa Sergio I SIC PA VIII Circoscrizione Italia 90142 it Acquasanta ,"accomodations,other_hotels",13.369552612304688,38.14482116699219
5,W81431245,b&b montereale,https://www.booking.com/hotel/it/b-b-montereale.html,null,null,null,Palermo Corso Calatafimi SIC PA IV Circoscrizione Italia 90131 it ,"accomodations,guest_houses",13.304302215576172,38.09153366088867
6,N3434171016,Casa Rossa,https://www.booking.com/hotel/it/casa-rossa-monreale.html,null,null,null,Via Pietro Novelli Monreale SIC PA Italia 90046 it ,"accomodations,guest_houses",13.278131484985352,38.07559585571289
7,W298804963,Palazzo Ducale Suites,https://www.booking.com/hotel/it/palazzo-ducale-suites.html,null,null,null,Via Duca degli Abruzzi Monreale Palazzo Ducale Suites SIC PA Italia 90046 it 8 ,"accomodations,guest_houses",13.289206504821777,38.08065414428711
8,N3097710601,b&b hootel duomo monreale,https://www.booking.com/hotel/it/hootel-duomo-monreale.html,null,null,null,Monreale SIC PA Italia 90131 it ,"accomodations,guest_houses",13.291282653808594,38.08213806152344
9,W525463451,Hotel Guglielmo II,https://www.booking.com/hotel/it/guglielmo-ii.html,4,null,null,Via Circonvallazione Monreale SIC PA Italia 90046 it ,"accomodations,other_hotels",13.299135208129883,38.079898834228516
10,W860669901,B&B Elvira al Duomo,https://www.booking.com/hotel/it/b-amp-b-elvira-al-duomo.html,null,null,null,Via Fecatello Pantuso Monreale SIC PA Italia 90131 it ,"accomodations,guest_houses",13.2966890335083,38.08028030395508
11,N4430278153,hotel bel 3,https://www.booking.com/hotel/it/bel3.html,3,null,null,Palermo Via Ruffo di Calabria Bel 3 Hotel SIC PA IV Circoscrizione Italia 90136 it 20 Baida ,"accomodations,other_hotels",13.295426368713379,38.11238098144531
12,W278478070,YooRoom,https://www.booking.com/hotel/it/yooroom.html,null,null,null,Palermo Via Valerio Villareale SIC PA VIII Circoscrizione Italia 90132 it 35 ,"accomodations,guest_houses",13.356192588806152,38.122528076171875
13,N1968794430,Il Giardino di Ballaro,https://www.booking.com/hotel/it/il-giardino-di-ballara2.html,null,null,null,Palermo Via Porta di Castro Il Giardino di Ballaro SIC PA I Circoscrizione Italia 90134 it 75-77 Albergheria ,"accomodations,guest_houses",13.358577728271484,38.11188888549805
14,N8687956711,best western ai cavalieri hotel,https://www.booking.com/hotel/it/best-western-cavalieri.html,4,null,null,Palermo Via Sant'Oliva SIC PA VIII Circoscrizione Italia 90139 it ,"accomodations,other_hotels",13.353403091430664,38.12213134765625
15,N4472225806,All'ombra del Massimo,https://www.booking.com/hotel/it/all-39-ombra-del-massimo.html,null,null,null,Palermo All'ombra del Massimo SIC PA I Circoscrizione Italia Piazza Giuseppe Verdi it 36 Il Capo ,"accomodations,guest_houses",13.35608196258545,38.120277404785156
16,N4460323089,B&B Teatro Massimo,https://www.booking.com/hotel/it/b-b-teatro-massimo.html,null,null,null,Palermo B&B Teatro Massimo SIC PA I Circoscrizione Italia 90133 Via Orologio it 31 Il Capo ,"accomodations,guest_houses",13.359187126159668,38.12031936645508
17,N4249246291,hotel mediterraneo,https://www.booking.com/hotel/it/albergo-mediterraneo-palermo.html,3,null,null,Palermo Via Rosolino Pilo Mediterraneo SIC PA VIII Circoscrizione Italia 90132 it 43 ,"accomodations,other_hotels",13.358404159545898,38.122230529785156
18,N5225046326,a casa di amici - boutique hostel,https://www.booking.com/hotel/it/a-casa-di-amici-hostel-and-guest-house.html,null,null,null,Palermo Via Dante A Casa di Amici SIC PA VIII Circoscrizione Italia 90141 it 57 ,"accomodations,hostels",13.350767135620117,38.12398910522461
19,N268886709,hotel principe di villafranca,https://www.booking.com/hotel/it/principe-di-villafranca.html,4,null,null,Palermo Via Giuseppina Turrisi Colonna SIC PA VIII Circoscrizione Italia 90141 it ,"accomodations,other_hotels",13.350509643554688,38.126564025878906
20,N5451557161,Hotel Elite,https://www.booking.com/hotel/it/hotelelitepalermo.html,3,null,null,Palermo Via Mariano Stabile Ades SIC PA VIII Circoscrizione Italia 90100 it 146 ,"accomodations,other_hotels",13.35831356048584,38.123111724853516
21,N4242155693,Hotel Garibaldi,https://www.booking.com/hotel/it/garibaldi-palermo.html,4,null,null,Palermo Via Emerico Amari Hotel Garibaldi SIC PA VIII Circoscrizione Italia 90132 it 146 ,"accomodations,other_hotels",13.357444763183594,38.12484359741211
22,N722919048,Artemisia Palace Hotel,https://www.booking.com/hotel/it/artemisia-palace.html,4,null,null,Palermo Via Ammiraglio Gravina SIC PA VIII Circoscrizione Italia 90100 it ,"accomodations,other_hotels",13.358912467956543,38.12499237060547
23,N1659744521,Hotel Europa,https://www.booking.com/hotel/it/europa-palermo.html,3,null,null,Palermo Via Agrigento SIC PA VIII Circoscrizione Italia 90139 it 5 ,"accomodations,other_hotels",13.35230827331543,38.12852096557617
24,N268654722,excelsior palace palermo,https://www.booking.com/hotel/it/excelsiorpalacehotel.html,4,null,null,Palermo Via Marchese Ugo Excelsior Hilton Palermo SIC PA VIII Circoscrizione Italia 90144 it 3 ,"accomodations,other_hotels",13.351301193237305,38.13032913208008
25,N951754650,hotel vecchio borgo,https://www.booking.com/hotel/it/vecchio-borgo.html,4,null,null,Palermo Via Empedocle SIC PA VIII Circoscrizione Italia 90100 it ,"accomodations,other_hotels",13.357954025268555,38.128150939941406
26,N5124415521,120 rodionoff palermo b&b,https://www.booking.com/hotel/it/120-rodionoff-b-amp-b.html,null,null,null,Palermo Via Giuseppe Sciuti 120 Rodionoff SIC PA VIII Circoscrizione Italia 90144 it 120 ,"accomodations,guest_houses",13.339808464050293,38.13723373413086
27,N3388428903,astoria palace hotel,https://www.booking.com/hotel/it/astoria-palace.html,4,null,null,Palermo SIC PA VIII Circoscrizione Italia 90142 it Acquasanta ,"accomodations,other_hotels",13.357694625854492,38.13931655883789
28,N6445131476,bellevue del golfo hotel & spa,https://www.booking.com/hotel/it/bellevue-del-golfo.html,3,null,null,Palermo Via Plauto Bellevue del Golfo SIC PA VII Circoscrizione Italia 90148 it 40 ,"accomodations,other_hotels",13.268017768859863,38.20115661621094
29,W262801287,addaura hotel residence congressi,https://www.booking.com/hotel/it/addaura-residence-congressi.html,3,null,null,Palermo SIC PA VII Circoscrizione Italia 90149 it Valdesi ,"accomodations,other_hotels",13.345072746276855,38.18983840942383
30,N4705118829,Hospitality Hotel,https://www.booking.com/hotel/it/hospitality.html,3,null,null,Palermo Via Salvatore Morso SIC PA III Circoscrizione Italia 90127 it ,"accomodations,other_hotels",13.360637664794922,38.10661315917969
31,N5328954821,B&B Stazione Centrale,https://www.booking.com/hotel/it/b-b-stazione-centrale-palermo.html,null,null,null,Palermo Piazza Giulio Cesare B&B Stazione Centrale SIC PA III Circoscrizione Italia 90127 it 3 ,"accomodations,guest_houses",13.366256713867188,38.109886169433594
32,W49706736,san paolo palace hotel,https://www.booking.com/hotel/it/san-paolo-palace.html,4,null,null,Palermo Via Messina Marine Hotel San Paolo Palace SIC PA II Circoscrizione Italia 90123 it 91 Romagnolo ,"accomodations,other_hotels",13.38078784942627,38.1077995300293
