xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
Q2028335,Oratorio dei Bianchi,null,null,https://it.wikipedia.org/wiki/Oratorio%20dei%20Bianchi%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Palermo-Oratorio-dei-Bianchi-bjs-01.jpg,Palermo Vicolo della Salvezza SIC PA I Circoscrizione Italia 90133 it Kalsa ,"religion,churches,interesting_places,other_churches",13.371339797973633,38.11592102050781
R6201052,Santa Maria della Sapienza,null,null,https://en.wikipedia.org/wiki/Santa%20Maria%20dello%20Spasimo,https://commons.wikimedia.org/wiki/File:Palermo-Santa-Maria-dello-Spasimo-bjs2007-01.jpg,Palermo SIC PA I Circoscrizione Italia it Kalsa ,"religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,other_churches",13.369608879089355,38.114620208740234
W203887204,ex chiesa di Sant'Alessandro dei Carbonai,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Sant%27Alessandro%20dei%20Carbonai,https://commons.wikimedia.org/wiki/File:Chiesa_di_Sant%27Alessandro_dei_Carbonai_%28Palermo%29.JPG,Palermo Via Sant'Alessandro SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,other_churches",13.365249633789062,38.12126922607422
W49866776,San Stanislao Kostka,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Stanislao%20Kostka,https://commons.wikimedia.org/wiki/File:Chiesa_di_San_Stanislao%2C_Palermo_-_facciata.JPG,Palermo SIC PA I Circoscrizione Italia it Il Capo ,"religion,churches,interesting_places,catholic_churches",13.351908683776855,38.11765670776367
W49786078,Chiesa di Sant'Agostino,null,null,https://en.wikipedia.org/wiki/Sant%27Agostino%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Palermo-San-Agostino-bjs.jpg,Palermo Via Sant'Agostino SIC PA I Circoscrizione Italia 90134 it Il Capo ,"religion,churches,interesting_places,catholic_churches",13.35763931274414,38.11801528930664
R403706,Santa Maria dello Spasimo,null,null,https://en.wikipedia.org/wiki/Santa%20Maria%20dello%20Spasimo,https://commons.wikimedia.org/wiki/File:Palermo-Santa-Maria-dello-Spasimo-bjs2007-01.jpg,Palermo Via Abramo Lincoln La bottega delle percussioni SIC PA I Circoscrizione Italia 90133 it 7 Kalsa ,"religion,churches,interesting_places,catholic_churches",13.37187385559082,38.11418533325195
W49750065,Chiesa di Santa Caterina,https://www.monasterosantacaterina.com/,null,https://en.wikipedia.org/wiki/Santa%20Caterina%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Santa_Caterina_%28Palermo%29.JPG,Palermo Corso Vittorio Emanuele SIC PA I Circoscrizione Italia 90133 Piazza Pretoria it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.362597465515137,38.11552429199219
W279888312,ex Chiesa dei Diecimila Martiri,null,null,https://it.wikipedia.org/wiki/Chiesa%20dei%20Diecimila%20Martiri,https://commons.wikimedia.org/wiki/File:Chiesa_dei_diecimila_martiri.jpg,Palermo Via Francesco Raimondo SIC PA I Circoscrizione Italia 90134 it Il Capo ,"religion,churches,interesting_places,other_churches",13.357170104980469,38.11812973022461
W279882881,Chiesa di Santa Maria di Valverde,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20di%20Valverde,https://commons.wikimedia.org/wiki/File:Palermo-Maria-Valverde-bjs2007-01.jpg,Palermo SIC PA I Circoscrizione Italia Largo Cavalieri di Malta it La Loggia ,"religion,churches,interesting_places,other_churches",13.363821029663086,38.12031555175781
W42414083,Chiesa di San Giovanni dei Lebbrosi,null,null,https://en.wikipedia.org/wiki/San%20Giovanni%20dei%20Lebbrosi%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Palermo_SanGiovanniLebbrosi_0877.jpg,Palermo Via Salvatore Cappello SIC PA II Circoscrizione Italia 90123 it Settecannoli ,"religion,churches,interesting_places,catholic_churches",13.380257606506348,38.10366439819336
